document_id,field,previous_candidate,verification_value,verification_evidence,verification_confidence,verification_status,verification_reason,model,prompt_version,source_sha256
DOC000005,document_type,handbook,,"The design of tunnel cross-sections in Germany is based on the guidelines for the equipment and operation of road tunnels (RABT) [77], also taking into account the guidelines for road design; cross-sections (RAS-Q) [76] and alignment (RAS-L) [75].",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,88542183b3fa42e9a11933065239cd73839b62ba311a4c1705f13390b5561285
DOC000007,document_type,book_or_book_chapter,,Volume II: Basics and Additional Services for Design and Construction*,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,f7364cfe35d103c795f3d2e5f31ce0dba9e072a5a7e070766682abe73f365b83
DOC000009,document_type,project_document,,# AppendixF ## Sayfa 1 /G49/G72...,low,unresolved_nonblocking,no_strong_field_specific_evidence,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,a11326648f705babf4f9c91a9092d8833da40a7faf35e15ec6495b13fd30a412
DOC000010,organization,CivilDigital,,"Complete List of Different Methods of Tunnel Construction | Principal Tunneling Types April 5, 2017 by Anand Paul",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,279425daaab3228f6b723aecfc8557456a726e6e3db8934acffd1855a19ed9e4
DOC000010,document_type,web_article,,"Home Resources  Articles About Us Site Map Contact Us Complete List of Different Methods of Tunnel Construction | Principal Tunneling Types April 5, 2017 by Anand Paul",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,279425daaab3228f6b723aecfc8557456a726e6e3db8934acffd1855a19ed9e4
DOC000013,organization,Xi'an Municipal Engineering Design&Research Institute Co Ltd; Chang'an University,,"Xi'an Municipal Engineering Design&Research Institute Co Ltd, Xi'an, Shaanxi, China",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,e9bce09c7035ac5c141dea236fcfd694e507faf2ccba90f6e0e21f29b3ecaa4f
DOC000016,organization,High Speed 2 (HS2),,insufficient,low,unresolved_nonblocking,no_strong_field_specific_evidence,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,376b6902031fe537a68c4606bbc954db0a2583e517f679e65b8aeded512e39cd
DOC000016,document_type,technical_report,,A Guide to Tunnelling Costs ... The guide rates seek to represent the costs that a principal contractor would charge,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,376b6902031fe537a68c4606bbc954db0a2583e517f679e65b8aeded512e39cd
DOC000017,organization,International Research Journal of Engineering and Technology (IRJET),,"1-2 G.H.Raisoni University, Amravati, Anjangaon Bari Road, Amravati, Maharashtra, India",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,046493eef6fb4c973116c6e2a44114ce27376a2cb6b3f8eaf3fe750885c8f5f4
DOC000018,year,2021,,Published in 2021.,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,fe0cf79aab020b9dbf9747771619dc0aabe44dfd82d98aa47cae335893e49886
DOC000019,document_type,technical_report,,"Review of Lower Thames Crossing Capacity Options Output 3: Operating Costs, Maintenance Costs and Revenues Report",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,fcafb5c9434d660130bf7645d163a6f1f1b387dc744013ce1c27638da1cfc856
DOC000020,organization,Fermilab,,"Fermilab is referenced as a site location, not the document's organization.",low,unresolved_nonblocking,no_strong_field_specific_evidence,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,6935929ec3c5b865ccdbc939924945c3b5a05459da955ce7417a6f72c076f16e
DOC000022,document_type,web_article,,Stages of the geological investigation carried out for the tunneling projects. The geological details require for a tunneling project obtained in three stages.,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,d6dcf36edb910eeb6c788624fca68a67c39638a2d0c255a05fa673df31db7cc3
DOC000024,year,2014,,"Technical Report · March 2014 CITATIONS 0 READS 55,921",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,28bb46527ab1a9bdd8654fbf5185fe923f9d7b5d76b58fb0120b189100924396
DOC000024,document_type,technical_report,,"Technical Report · March 2014 CITATIONS 0 READS 55,921",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,28bb46527ab1a9bdd8654fbf5185fe923f9d7b5d76b58fb0120b189100924396
DOC000036,year,2015,,4 Ağustos 2015 SALI Sayı : 29435,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,1c8cf251c81e8ae5e70c88b1489519d81ffba3399b43b05e64239d633a488937
DOC000037,organization,TMMOB Maden Mühendisleri Odası - Tünelcilik Derneği,,TMMOB Maden Mühendisleri Odası - Tünelcilik Derneği,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,59634dde95d44e0e192ef4a50411b951775a18bfcaa7db6bf103defe6cfb2f4c
DOC000038,document_type,academic_article,,This paper analyzes the feasibility of Bolu Mountain Tunnel which is one of the most costly highway projects in Turkey.,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,a95c677557c8064ee02e138b9b538bd52d1151c2cedca7bc1c2a18db66e01639
DOC000039,organization,Infrastructure and Projects Authority (IPA),,the Infrastructure and Projects Authority (IPA) is developing a new top-down benchmarking methodology,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,dfe9d01daa14dd6f5dd17db9037e84f2b920a31e89740b66d8ab438162ab11d0
DOC000039,year,2018,,This paper describes a recent re-benchmarking exercise carried out in 2018.,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,dfe9d01daa14dd6f5dd17db9037e84f2b920a31e89740b66d8ab438162ab11d0
DOC000039,document_type,technical_report,,"This paper describes a recent re-benchmarking exercise carried out in 2018. It sets out the methodology adopted, the results, and recommendations for their future use.",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,dfe9d01daa14dd6f5dd17db9037e84f2b920a31e89740b66d8ab438162ab11d0
DOC000041,document_type,technical_report,,# Estimate of annual operating costs Highway Tunnel,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,b33de96bcf1b4e6bdf99bfa40e8c182174ccd7c66ae084a49aa979ad0e50d592
DOC000044,year,2015,,Article history: Received 30 May 2015 Available online 22 October 2015,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,6c33efd9e03ce78f9ec23cc1e869d7b0401882177db612488f36b2792cbb16fc
DOC000044,document_type,academic_article,,Tunnelling and Underground Space Technology journal homepage: www.elsevier.com/locate/tust,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,6c33efd9e03ce78f9ec23cc1e869d7b0401882177db612488f36b2792cbb16fc
DOC000045,document_type,technical_report,,multi-disciplinary commission to study the circular prepared for the General Directorate.,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,5d524bf61343305c4f9c1a8fda2248659201b7fa0304f2a8c00b0c9559d8dbc4
DOC000051,organization,KGM,,,low,unresolved_nonblocking,no_strong_field_specific_evidence,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,164a2494261086dbb9d2446b8ab4a1141ead7783629ac7d21915fdd57d7bcf11
DOC000051,document_type,inventory,,# Tünel Haritası 2024_KGMWEB,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,164a2494261086dbb9d2446b8ab4a1141ead7783629ac7d21915fdd57d7bcf11
DOC000054,document_type,other,,# Enjeksiyon Foto2 ![Enjeksiyon Foto2](Enjeksiyon Foto2.jpg),high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,c5b8b61e1d07edae30e7d35e3dc56cce68fc7b53c297f49f3284d708bb25ab9b
DOC000056,document_type,other,,Enjeksiyon Fotoları [https://www.ozdemirenjaksiyon.com/uygulamalar-detay/tunel-kazisi-sirasinda-su-yalitimi-enjeksiyon-uygulamasi] **Invert Betonu Uygulaması Fotosu** [https://kptmetrosu.ist/Upload/Dokumanlar/24220221180893.pdf],low,unresolved_nonblocking,no_strong_field_specific_evidence,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,8e2601e33aad2c570d8dc5a4467a48a5dc5a6ee6c8e75bdc132f9820a57e3629
DOC000057,document_type,other,,# InvertBetonUygulaması ![InvertBetonUygulaması](InvertBetonUygulaması.png),high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,c77a14960e997ca95740010fef35aba2ec824861a306004633b190bc4d42d408
DOC000063,authority_level,A,,Ulaştırma ve Altyapı Bakanlığından: TEHLİKELİ MADDELERİN KARAYOLUYLA TAŞINMASI HAKKINDA YÖNETMELİK,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,19bb2d542f7e1f0a684f70c248797a21a306d50fbf9d86246ef70b47ac60e38d
DOC000066,organization,Yol Yapım Dairesi Başkanlığı,,insufficient,low,unresolved_nonblocking,no_strong_field_specific_evidence,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,33e54b02175c174a99a7739012e0a70101e516836394186566041b705643cce9
DOC000069,document_type,presentation,,Doç. Dr. Mustafa VEKLİ Sunular için Prof. Dr. Hakan ERSOY’a teşekkür ederim,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,43e15adde21fcb6bd4b3b48cb6332a31428312d3c406f330ad4fbaa63aecdcfa
DOC000071,year,2002,,**Ocak 2002**,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,cf2fad9c374cff80978324d92e88dd00d6cd4bcb5fd229df8973cfe565b1a477
DOC000073,year,2013,,TÜRKİYE TÜNELCİLİK SEMİNERİ 13 HAZİRAN 2013,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,9fea1e259f10c9d371f0762816d9b80216f58e29841b79b2ca26aa9312ec177c
DOC000074,year,2012,,ANKARA 2012 Her Hakkı Saklıdır,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,2acb6a1bea35571728e776f6c3a4449eb9abd9d79a34f3111e700a216eb6a2ea
DOC000074,document_type,academic_article,,TÜNELLERDE DESTEK SİSTEMLERİ VE GÜÇLENDİRME YÖNTEMLERİ Emine ERTEKİN YARDIMCI Jeoloji Y. Mühendisi ANKARA 2012,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,2acb6a1bea35571728e776f6c3a4449eb9abd9d79a34f3111e700a216eb6a2ea
DOC000098,year,2020,,**T.C.** **HARRAN ÜNİVERSİTESİ FEN BİLİMLERİ ENSTİTÜSÜ** **YÜKSEK LİSANS TEZİ**,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,9fdf7f646f22681990358b84be08bc9563ec2f2c769dd01ecad875f511e3acdc
DOC000099,document_type,conference_paper,,"Bildiride kullan1lan ana yöntemler kısaca aç1klan1p, bunların yararları ve sakıncaları elirtiliyor.",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,f63fb62709dcfc717cf051c3e33d349a5ec74aca3cdd35aac5cf6534170f02e3
DOC000100,document_type,conference_paper,,Bu bildiride alternatif maliyet analizi çalışmalarını inceleyen çalışmanın ön sonuçları olarak,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,ef8bfe928d0936ae50fc6b2a3f1bb13690b5775b658934cbb9102857ccc4f76d
DOC000103,document_type,technical_specification,,Tünellerde kazı destekleme işleri “Yeni Avusturya Tünel Metodu” ile yapılacaktır.,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,2c1b6a55522b0773cf9f110ca0d29ce8248640c1c42ad5df0701309c576f28d4
DOC000105,year,2009,,"*Madencilik, Cilt 48, Sayı 2, Sayfa 21-34, Haziran 2009*",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,f48254965129c3bb94a9b5d193695f32d4b20c5605ff1415885a7e6d636aeb23
DOC000105,document_type,academic_article,,"*Madencilik, Cilt 48, Sayı 2, Sayfa 21-34, Haziran 2009*",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,f48254965129c3bb94a9b5d193695f32d4b20c5605ff1415885a7e6d636aeb23
DOC000110,document_type,academic_article,,**DEVELOPMENT AND BACKGROUND OF NATM** **Wulf Schubert** **Graz University of Technology**,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,521709d743a3d0399b5025fc7cc9eb9bc383852908cc125951b52d56a9c53a6d
DOC000110,authority_level,B,,**Graz University of Technology**,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,521709d743a3d0399b5025fc7cc9eb9bc383852908cc125951b52d56a9c53a6d
DOC000111,document_type,presentation,,**Investigation strategies on the example of the** **Semmering Base Tunnel**,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,d539e7f4fef25d72a22d97fc66e00deeea3f2d9e27bb78a960c0ce771f6d0049
DOC000112,organization,IGT Geotechnik und Tunnelbau ZT GmbH,,"**INFLUENCE OF CODES, GUIDELINES AND OTHER REGULATIONS ON THE TUNNEL DESIGN IN AUSTRIA** **Bernhard Kohlböck** **IGT Geotechnik und Tunnelbau ZT GmbH**",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,c80abb102d8727116ae25084f339792007817a95002d49e2b4b854d56f04a4d3
DOC000113,document_type,conference_proceedings,,"Austrian Tunnelling Seminar Ankara, March 31 & April 1 , 2015",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,3f316c2ed7f26aedcf68027feac77514ab52a7eb7af7b0ab1f2fb2fc1674174e
DOC000114,organization,IGT Geotechnik und Tunnelbau ZT GmbH,,**IGT Geotechnik und Tunnelbau ZT GmbH** [**b.kohlboeck@igt-engineering.com**](mailto:b.kohlboeck@igt-engineering.com),high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,7fd4b4c8c846d5e6aae2acc8cecd0dc03273e7182ae53a6f4ebf8de4b5d346be
DOC000114,document_type,conference_proceedings,,**DESIGN OF TUNNELS IN VARIOUS ROCK CONDITIONS** **Bernhard Kohlböck** **IGT Geotechnik und Tunnelbau ZT GmbH**,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,7fd4b4c8c846d5e6aae2acc8cecd0dc03273e7182ae53a6f4ebf8de4b5d346be
DOC000115,organization,OBB – Austrian Federal Railways,,**Hanns Wagner** OBB – Austrian Federal Railways,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,97708590548f2234ac69cfb394e550635427de10767b45e06c79914fce3f7ca4
DOC000115,document_type,conference_paper,,"**Austrian Tunnelling Seminar Ankara, March 31st &amp; April 1st, 2015 14**",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,97708590548f2234ac69cfb394e550635427de10767b45e06c79914fce3f7ca4
DOC000116,document_type,conference_paper,,**SUPPORT STRATEGIES FOR TUNNELS IN WEAK GROUND AND HIGH OVERBURDEN** **Wulf Schubert** ***Graz University of Technology***,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,2dd377aa1c5526954a690c229aaa0177e901e982aab492d81263dce00e55ce56
DOC000116,authority_level,B,,***Graz University of Technology***,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,2dd377aa1c5526954a690c229aaa0177e901e982aab492d81263dce00e55ce56
DOC000117,document_type,conference_proceedings,,"**Austrian Tunnelling Seminar Ankara, March 31st & April 1st, 2015 16**",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,1c5a56abfaae6e5248584ef5841f7768352868ee2b53bd114514189a4b8405a3
DOC000118,organization,OBB – Austrian Federal Railways,,**Hanns Wagner** OBB – Austrian Federal Railways ### Requirements for a successful application of NATM,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,8ac72718b2b107378e7be611654d3caf2c8b63f2d6a1b690b5243c3109c316a1
DOC000118,document_type,conference_proceedings,,"**Austrian Tunnelling Seminar Ankara, March 31st & April 1st, 2015**",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,8ac72718b2b107378e7be611654d3caf2c8b63f2d6a1b690b5243c3109c316a1
DOC000119,organization,IGT Geotechnik und Tunnelbau ZT GmbH,,**IGT Geotechnik und Tunnelbau ZT GmbH** [**b.kohlboeck@igt-engineering.com**](mailto:b.kohlboeck@igt-engineering.com),high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,4a19f1d8988ca4971513a4b771c671122749ef4f3e8df236e5d4093b0acbba39
DOC000119,document_type,conference_paper,,**SUPPLEMENTARY JET GROUTING AT METRO VIENNA LOT U1-10** **Bernhard Kohlböck** **IGT Geotechnik und Tunnelbau ZT GmbH**,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,4a19f1d8988ca4971513a4b771c671122749ef4f3e8df236e5d4093b0acbba39
DOC000120,authority_level,B,,***Graz University of Technology***,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,2025c5626a39547cdf9eb888904112c67702f5b062baf9787da9337a80b38ded
DOC000121,document_type,technical_specification,,Publisher: Austrian Society for Geomechanics ... The Austrian Practice of NATM Tunnelling Contracts,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,137b3889a8250d821c0ca34c92a00f633489aa4064c3f7c4b09a8d7e815fa232
DOC000122,document_type,technical_specification,,Guideline for the Geotechnical Design of Underground Structures with Conventional Excavation,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,8bb90aa5183d87dddc449e02f3a33c47a0ce0fbf3b0661effd3fdbeae1915d4d
DOC000123,organization,Österreichische Gesellschaft für Geomechanik (Austrian Society for Geomechanics),,ÖSTERREICHISCHE GESELLSCHAFT FÜR GEOMECHANIK AUSTRIAN SOCIETY FOR GEOMECHANICS,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,95f6781e96026a8a700972730aba59088c12ffbbe9becf83196c73c8404ad8b6
DOC000124,year,2009,,"**İSTANBUL, 2009**",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,7e795b9a47c89f5406c566770c2f81cf7f6fc58ae0545d3299d3a3f107f574da
DOC000125,document_type,presentation,,TÜRK İ YE TÜNELC İ L İ K SEM İ NER İ 2013 HAZIRLAYANIN ADI SOYADI,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,7f177b472ed62ef801089d0cdc51369c39b4f89669880fe37871ea63672066df
DOC000126,document_type,conference_proceedings,,"TURK E TUNELCILIK SEMINERI2O13 SHERATON OTEL, ANKARA Dr. Orhan Şİ M Ş EK FUGRO S İ AL Ltd. Ş ti.",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,abc6dcf8e707da2f77f6aa3777630d823ed934fca48f67821114ed835ea64e63
DOC000127,organization,YÜKSEL Proje Uluslararası A. Ş.,,,low,unresolved_nonblocking,no_strong_field_specific_evidence,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,752100774713db4bce1bba84ccbd571af14868359841be4afb343ab4b4e4328f
DOC000129,document_type,presentation,,Tünel Yönetim Sistemleri - Sunu İçeriği,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,290648f6f7fc8e05fe816c0b981659f49af95ca7c31f137e180c1169c15bbe29
DOC000130,organization,Karayolları Genel Müdürlüğü,,Murat Dursun BARUT Karayolları Genel Müdürlüğü 13 Haziran 2013 Ankara,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,17e5e4aa41637a66b3dee7c8c71e79a278cdccb4c134fd115eb7a4a66aa24f32
DOC000130,document_type,presentation,,TÜRK İ YE TÜNELC İ L İ K SEM İ NER İ 2013,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,17e5e4aa41637a66b3dee7c8c71e79a278cdccb4c134fd115eb7a4a66aa24f32
DOC000131,organization,"Türkiye Cumhuriyeti Ulaştırma, Denizcilik ve Haberleşme Bakanlığı",,insufficient,low,unresolved_nonblocking,no_strong_field_specific_evidence,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,784b14ff9e8444a97c6d284d4fe232dab00589930f78f3c4ecf441816251e1db
DOC000132,organization,İstanbul Teknik Üniversitesi,,insufficient,low,unresolved_nonblocking,no_strong_field_specific_evidence,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,c736114ad7d9ac29557c038d3125645cc50104cd1bb39ff873388c1f65c5ccbe
DOC000151,document_type,presentation,,**2013** **https://www.ytmk.org.tr/yayinlar/sunumlar**,low,unresolved_nonblocking,no_strong_field_specific_evidence,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,a3e34dc693e74ca818ed9245d160c284f062a6b4889b2cb037b8f0c89f1c1492
DOC000153,organization,Sika,,Sika's long history of innovation has led to unparalleled success in becoming a recognized global technology leader,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,8c40ec5ec7c1cb1e451a146d3c19f951a3041dc6a83f0d886f536e059bbce6eb
DOC000154,organization,Turkish Tunnelling Society,,www.tunnelturkey.org TURKISH TUNNELLING SOCIETY,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,6a3e8bf61cc46e81e500a8315b25864943df7ce31ca83e59c5d00d36558481f1
DOC000154,document_type,conference_proceedings,,TURKISH TUNNELLING SOCIETY ... 29-30 KASIM 2022,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,6a3e8bf61cc46e81e500a8315b25864943df7ce31ca83e59c5d00d36558481f1
DOC000156,document_type,presentation,,www.tunnelturkey.org ## Bazı Karayolu Tünel Yangınları ve Can Kayıpları: | YiI | Tünel,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,85283ef6c13967fdbf3453026f913b303b7a06a905bc8fd86cd93eb93685975b
