priority,document_id,chunk_id,reason,details,review_status,reviewer_note
P1,DOC000047,DOC000047-C0023,huge_table_special_case,3583 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0024,huge_table_special_case,2837 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0025,huge_table_special_case,3424 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0026,huge_table_special_case,3085 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0028,huge_table_special_case,3141 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0072,huge_table_special_case,1536 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0121,huge_table_special_case,2834 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0163,huge_table_special_case,3049 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0207,huge_table_special_case,1689 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0208,huge_table_special_case,1638 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0378,huge_table_special_case,2421 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0380,huge_table_special_case,1588 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0405,huge_table_special_case,4848 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0406,huge_table_special_case,3400 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000048,DOC000048-C0040,huge_table_special_case,3594 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000048,DOC000048-C0042,huge_table_special_case,2664 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000048,DOC000048-C0059,huge_table_special_case,2296 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000048,DOC000048-C0061,huge_table_special_case,2195 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000048,DOC000048-C0084,huge_table_special_case,2528 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000049,DOC000049-C0003,huge_table_special_case,1689 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000049,DOC000049-C0012,huge_table_special_case,1869 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000049,DOC000049-C0013,huge_table_special_case,2759 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000049,DOC000049-C0014,huge_table_special_case,2716 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000049,DOC000049-C0015,huge_table_special_case,2411 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000049,DOC000049-C0016,huge_table_special_case,2641 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000049,DOC000049-C0017,huge_table_special_case,2620 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000049,DOC000049-C0018,huge_table_special_case,2551 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000049,DOC000049-C0019,huge_table_special_case,1888 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000068,,excessive_tiny_chunks,24/25 chunks under 250,pending,
P1,DOC000071,DOC000071-C0031,huge_table_special_case,1797 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000072,DOC000072-C0063,huge_table_special_case,2763 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000075,DOC000075-C0027,huge_table_special_case,1518 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000075,DOC000075-C0139,huge_table_special_case,2063 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000075,DOC000075-C0144,huge_table_special_case,1867 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000075,DOC000075-C0159,huge_table_special_case,1841 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000075,DOC000075-C0162,huge_table_special_case,1782 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000075,DOC000075-C0164,huge_table_special_case,2222 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000087,DOC000087-C0003,huge_table_special_case,2230 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000087,DOC000087-C0088,huge_table_special_case,1557 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000087,DOC000087-C0105,huge_table_special_case,2194 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000087,DOC000087-C0124,huge_table_special_case,1998 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000087,DOC000087-C0157,huge_table_special_case,4750 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000087,DOC000087-C0158,huge_table_special_case,3353 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000087,DOC000087-C0159,huge_table_special_case,2433 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000087,DOC000087-C0202,huge_table_special_case,4183 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000087,DOC000087-C0226,huge_table_special_case,1751 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000087,DOC000087-C0230,huge_table_special_case,1930 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000087,DOC000087-C0384,huge_table_special_case,2157 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000087,DOC000087-C0386,huge_table_special_case,2284 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000087,DOC000087-C0388,huge_table_special_case,2317 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000087,DOC000087-C0389,huge_table_special_case,2261 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000124,DOC000124-C0010,huge_table_special_case,1639 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000124,DOC000124-C0079,huge_table_special_case,1550 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000124,DOC000124-C0081,huge_table_special_case,1679 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000124,DOC000124-C0093,huge_table_special_case,2833 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000125,DOC000125-C0007,huge_table_special_case,1711 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000158,DOC000158-C0001,huge_table_special_case,1605 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000159,,excessive_tiny_chunks,9/10 chunks under 250,pending,
P1,DOC000167,DOC000167-C0007,huge_table_special_case,1655 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000167,DOC000167-C0009,huge_table_special_case,1677 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000167,DOC000167-C0011,huge_table_special_case,4428 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000170,DOC000170-C0003,huge_table_special_case,4319 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000170,DOC000170-C0005,huge_table_special_case,2683 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000170,DOC000170-C0010,huge_table_special_case,3983 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000170,DOC000170-C0011,huge_table_special_case,3819 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000170,DOC000170-C0017,huge_table_special_case,1915 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000170,DOC000170-C0078,huge_table_special_case,1652 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000170,DOC000170-C0084,huge_table_special_case,1542 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000170,DOC000170-C0091,huge_table_special_case,1591 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000171,,excessive_tiny_chunks,60/60 chunks under 250,pending,
P1,DOC000172,,excessive_tiny_chunks,48/48 chunks under 250,pending,
P1,DOC000173,,excessive_tiny_chunks,25/25 chunks under 250,pending,
P1,DOC000174,DOC000174-C0001,huge_table_special_case,5506 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000174,DOC000174-C0002,huge_table_special_case,3953 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000174,DOC000174-C0006,huge_table_special_case,1529 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000174,DOC000174-C0007,huge_table_special_case,1987 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000174,DOC000174-C0009,huge_table_special_case,1515 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000174,DOC000174-C0071,huge_table_special_case,1675 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000174,DOC000174-C0072,huge_table_special_case,1753 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000174,DOC000174-C0073,huge_table_special_case,1870 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000174,DOC000174-C0074,huge_table_special_case,1567 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000174,DOC000174-C0076,huge_table_special_case,1547 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000175,DOC000175-C0002,huge_table_special_case,3054 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000175,DOC000175-C0003,huge_table_special_case,3435 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000176,DOC000176-C0003,huge_table_special_case,3807 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000176,DOC000176-C0004,huge_table_special_case,1857 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000177,DOC000177-C0003,huge_table_special_case,1799 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000177,DOC000177-C0030,huge_table_special_case,4539 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000177,DOC000177-C0034,huge_table_special_case,3054 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000193,DOC000193-C0003,huge_table_special_case,1674 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000193,DOC000193-C0004,huge_table_special_case,2413 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000196,DOC000196-C0003,huge_table_special_case,3694 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000196,DOC000196-C0054,huge_table_special_case,1756 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000197,DOC000197-C0002,huge_table_special_case,3626 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000197,DOC000197-C0031,huge_table_special_case,1562 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000198,DOC000198-C0002,huge_table_special_case,3750 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000199,DOC000199-C0003,huge_table_special_case,7878 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000199,DOC000199-C0066,huge_table_special_case,5366 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000200,DOC000200-C0002,huge_table_special_case,3806 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000200,DOC000200-C0003,huge_table_special_case,3461 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000201,DOC000201-C0004,huge_table_special_case,1636 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000202,DOC000202-C0002,huge_table_special_case,3054 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000202,DOC000202-C0003,huge_table_special_case,3269 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000203,DOC000203-C0002,huge_table_special_case,3054 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000203,DOC000203-C0003,huge_table_special_case,2083 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000204,DOC000204-C0003,huge_table_special_case,2069 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000205,DOC000205-C0003,huge_table_special_case,3807 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000205,DOC000205-C0004,huge_table_special_case,2606 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000206,DOC000206-C0003,huge_table_special_case,3807 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000206,DOC000206-C0004,huge_table_special_case,3435 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000207,DOC000207-C0004,huge_table_special_case,3110 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000208,DOC000208-C0002,huge_table_special_case,1674 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000208,DOC000208-C0003,huge_table_special_case,2200 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000211,,excessive_tiny_chunks,17/19 chunks under 250,pending,
P1,DOC000229,DOC000229-C0005,huge_table_special_case,2672 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000231,DOC000231-C0002,huge_table_special_case,1833 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000232,DOC000232-C0002,huge_table_special_case,1512 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000232,DOC000232-C0005,huge_table_special_case,1594 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000232,DOC000232-C0008,huge_table_special_case,1877 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000232,DOC000232-C0010,huge_table_special_case,3797 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000232,DOC000232-C0014,huge_table_special_case,2779 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000235,DOC000235-C0002,huge_table_special_case,1744 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000235,DOC000235-C0004,huge_table_special_case,3144 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000235,DOC000235-C0006,huge_table_special_case,2969 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000235,DOC000235-C0008,huge_table_special_case,3163 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000235,DOC000235-C0010,huge_table_special_case,2962 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000235,DOC000235-C0012,huge_table_special_case,2738 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000235,DOC000235-C0014,huge_table_special_case,2759 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000235,DOC000235-C0016,huge_table_special_case,3612 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000235,DOC000235-C0018,huge_table_special_case,3614 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000235,DOC000235-C0020,huge_table_special_case,3100 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000236,DOC000236-C0111,huge_table_special_case,1669 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000236,DOC000236-C0156,huge_table_special_case,4061 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000236,DOC000236-C0157,huge_table_special_case,3347 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000236,DOC000236-C0158,huge_table_special_case,2588 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000236,DOC000236-C0203,huge_table_special_case,4172 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000236,DOC000236-C0228,huge_table_special_case,1647 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000236,DOC000236-C0232,huge_table_special_case,2032 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000236,DOC000236-C0385,huge_table_special_case,1825 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000236,DOC000236-C0387,huge_table_special_case,2143 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000236,DOC000236-C0389,huge_table_special_case,1918 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000236,DOC000236-C0390,huge_table_special_case,2116 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000240,DOC000240-C0004,huge_table_special_case,1664 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000244,DOC000244-C0001,huge_table_special_case,2551 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000245,,excessive_tiny_chunks,10/10 chunks under 250,pending,
P1,DOC000248,,excessive_tiny_chunks,10/10 chunks under 250,pending,
P1,DOC000259,,excessive_tiny_chunks,38/38 chunks under 250,pending,
P1,DOC000262,,excessive_tiny_chunks,12/12 chunks under 250,pending,
P1,DOC000267,DOC000267-C0027,huge_table_special_case,2665 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000267,DOC000267-C0030,huge_table_special_case,2918 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000267,DOC000267-C0033,huge_table_special_case,3422 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000267,DOC000267-C0065,huge_table_special_case,1654 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000283,,excessive_tiny_chunks,59/59 chunks under 250,pending,
P1,DOC000284,,excessive_tiny_chunks,13/14 chunks under 250,pending,
P1,DOC000287,,excessive_tiny_chunks,94/94 chunks under 250,pending,
P1,DOC000288,,excessive_tiny_chunks,33/33 chunks under 250,pending,
P1,DOC000293,,excessive_tiny_chunks,18/18 chunks under 250,pending,
P1,DOC000294,,excessive_tiny_chunks,32/32 chunks under 250,pending,
P1,DOC000295,,excessive_tiny_chunks,38/38 chunks under 250,pending,
P1,DOC000302,,excessive_tiny_chunks,145/145 chunks under 250,pending,
P1,DOC000304,,excessive_tiny_chunks,59/59 chunks under 250,pending,
P1,DOC000308,DOC000308-C0011,huge_table_special_case,1715 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000308,DOC000308-C0012,huge_table_special_case,1636 tokens; justified_special_case (atomic Markdown table),pending,
P2,DOC000012,,source_only_citation,3/3 chunks,pending,
P2,DOC000023,,source_only_citation,1/1 chunks,pending,
P2,DOC000056,,source_only_citation,1/1 chunks,pending,
P2,DOC000061,,source_only_citation,1/1 chunks,pending,
P2,DOC000069,,source_only_citation,2/2 chunks,pending,
P2,DOC000071,,source_only_citation,57/57 chunks,pending,
P2,DOC000073,,source_only_citation,1/5 chunks,pending,
P2,DOC000074,,source_only_citation,13/13 chunks,pending,
P2,DOC000075,,source_only_citation,200/200 chunks,pending,
P2,DOC000076,,source_only_citation,7/7 chunks,pending,
P2,DOC000086,,source_only_citation,1/1 chunks,pending,
P2,DOC000098,,source_only_citation,21/21 chunks,pending,
P2,DOC000099,,source_only_citation,2/8 chunks,pending,
P2,DOC000117,,source_only_citation,2/8 chunks,pending,
P2,DOC000122,,source_only_citation,1/23 chunks,pending,
P2,DOC000123,,source_only_citation,2/27 chunks,pending,
P2,DOC000124,,source_only_citation,94/94 chunks,pending,
P2,DOC000151,,source_only_citation,2/2 chunks,pending,
P2,DOC000169,,source_only_citation,2/2 chunks,pending,
P2,DOC000212,,source_only_citation,1/1 chunks,pending,
P2,DOC000222,,source_only_citation,1/3 chunks,pending,
P2,DOC000223,,source_only_citation,2/2 chunks,pending,
P2,DOC000224,,source_only_citation,2/2 chunks,pending,
P2,DOC000227,,source_only_citation,8/8 chunks,pending,
P2,DOC000232,,source_only_citation,20/20 chunks,pending,
P2,DOC000237,,source_only_citation,2/2 chunks,pending,
P2,DOC000239,,source_only_citation,1/1 chunks,pending,
P2,DOC000246,,source_only_citation,2/2 chunks,pending,
P2,DOC000254,,source_only_citation,1/1 chunks,pending,
P2,DOC000260,,source_only_citation,2/2 chunks,pending,
P2,DOC000266,,source_only_citation,26/26 chunks,pending,
P2,DOC000267,,source_only_citation,5/69 chunks,pending,
P2,DOC000268,,source_only_citation,10/10 chunks,pending,
P2,DOC000269,,source_only_citation,6/6 chunks,pending,
P2,DOC000270,,source_only_citation,9/9 chunks,pending,
P2,DOC000271,,source_only_citation,10/10 chunks,pending,
P2,DOC000272,,source_only_citation,11/11 chunks,pending,
P2,DOC000273,,source_only_citation,4/4 chunks,pending,
P2,DOC000281,,source_only_citation,1/1 chunks,pending,
P2,DOC000286,,source_only_citation,1/1 chunks,pending,
P2,DOC000306,,source_only_citation,1/1 chunks,pending,
