chunk_id,document_id,lexical_token_count,bge_m3_token_count,difference,ratio,over_1200,over_1500,over_model_limit,contains_table,contains_formula_placeholder,contains_image_placeholder,provenance_status
DOC000003-C0013,DOC000003,1186,1254,68,1.0573,1,0,0,1,0,0,page_resolved
DOC000003-C0014,DOC000003,559,682,123,1.2200,0,0,0,0,0,0,page_resolved
DOC000003-C0015,DOC000003,838,953,115,1.1372,0,0,0,1,0,0,page_resolved
DOC000003-C0016,DOC000003,213,237,24,1.1127,0,0,0,0,0,0,page_resolved
DOC000003-C0017,DOC000003,923,1147,224,1.2427,0,0,0,1,0,0,page_resolved
DOC000003-C0018,DOC000003,797,989,192,1.2409,0,0,0,1,0,0,page_resolved
DOC000003-C0019,DOC000003,563,722,159,1.2824,0,0,0,0,0,0,page_resolved
DOC000003-C0020,DOC000003,699,923,224,1.3205,0,0,0,0,0,0,page_resolved
DOC000003-C0021,DOC000003,445,554,109,1.2449,0,0,0,0,0,0,page_resolved
DOC000003-C0022,DOC000003,620,791,171,1.2758,0,0,0,0,0,0,page_resolved
DOC000003-C0023,DOC000003,528,691,163,1.3087,0,0,0,0,0,0,page_resolved
DOC000003-C0024,DOC000003,713,906,193,1.2707,0,0,0,0,0,0,page_resolved
DOC000003-C0025,DOC000003,972,1235,263,1.2706,1,0,0,0,0,0,page_resolved
DOC000003-C0026,DOC000003,655,803,148,1.2260,0,0,0,0,0,0,page_resolved
DOC000003-C0027,DOC000003,986,1230,244,1.2475,1,0,0,0,0,0,page_resolved
DOC000003-C0028,DOC000003,797,1047,250,1.3137,0,0,0,0,0,0,page_resolved
DOC000003-C0029,DOC000003,616,753,137,1.2224,0,0,0,0,0,0,page_resolved
DOC000003-C0030,DOC000003,771,929,158,1.2049,0,0,0,0,0,0,page_resolved
DOC000003-C0031,DOC000003,783,995,212,1.2708,0,0,0,0,0,0,page_resolved
DOC000003-C0032,DOC000003,873,1090,217,1.2486,0,0,0,0,0,0,page_resolved
DOC000003-C0033,DOC000003,738,937,199,1.2696,0,0,0,0,0,0,page_resolved
DOC000003-C0034,DOC000003,657,795,138,1.2100,0,0,0,0,0,0,page_resolved
DOC000003-C0035,DOC000003,569,707,138,1.2425,0,0,0,0,0,0,page_resolved
DOC000003-C0036,DOC000003,792,935,143,1.1806,0,0,0,0,0,0,page_resolved
DOC000003-C0037,DOC000003,926,1111,185,1.1998,0,0,0,0,0,0,page_resolved
DOC000003-C0038,DOC000003,756,938,182,1.2407,0,0,0,0,0,0,page_resolved
DOC000003-C0039,DOC000003,625,766,141,1.2256,0,0,0,0,0,0,page_resolved
DOC000003-C0040,DOC000003,875,1043,168,1.1920,0,0,0,0,0,0,page_resolved
DOC000003-C0041,DOC000003,789,944,155,1.1965,0,0,0,0,0,0,page_resolved
DOC000003-C0042,DOC000003,813,1055,242,1.2977,0,0,0,0,0,0,page_resolved
DOC000003-C0043,DOC000003,545,698,153,1.2807,0,0,0,0,0,0,page_resolved
DOC000003-C0044,DOC000003,964,1161,197,1.2044,0,0,0,0,0,0,page_resolved
DOC000003-C0045,DOC000003,996,1203,207,1.2078,1,0,0,0,0,0,page_resolved
DOC000003-C0046,DOC000003,911,1089,178,1.1954,0,0,0,0,0,0,page_resolved
DOC000003-C0047,DOC000003,942,1172,230,1.2442,0,0,0,0,0,0,page_resolved
DOC000003-C0048,DOC000003,867,1047,180,1.2076,0,0,0,0,0,0,page_resolved
DOC000003-C0049,DOC000003,992,1225,233,1.2349,1,0,0,0,0,0,page_resolved
DOC000003-C0050,DOC000003,914,1101,187,1.2046,0,0,0,0,0,0,page_resolved
DOC000003-C0051,DOC000003,420,531,111,1.2643,0,0,0,0,0,0,page_resolved
DOC000003-C0052,DOC000003,803,1000,197,1.2453,0,0,0,0,0,0,page_resolved
DOC000003-C0053,DOC000003,778,956,178,1.2288,0,0,0,0,0,0,page_resolved
DOC000003-C0054,DOC000003,507,661,154,1.3037,0,0,0,0,0,0,page_resolved
DOC000003-C0055,DOC000003,593,733,140,1.2361,0,0,0,0,0,0,page_resolved
DOC000003-C0056,DOC000003,965,1175,210,1.2176,0,0,0,0,0,0,page_resolved
DOC000003-C0057,DOC000003,896,1092,196,1.2188,0,0,0,0,0,0,page_resolved
DOC000003-C0058,DOC000003,775,949,174,1.2245,0,0,0,0,0,0,page_resolved
DOC000003-C0059,DOC000003,679,812,133,1.1959,0,0,0,0,0,0,page_resolved
DOC000003-C0060,DOC000003,1054,1300,246,1.2334,1,0,0,0,0,0,page_resolved
DOC000003-C0061,DOC000003,842,1028,186,1.2209,0,0,0,0,0,0,page_resolved
DOC000003-C0062,DOC000003,999,1229,230,1.2302,1,0,0,0,0,0,page_resolved
DOC000003-C0063,DOC000003,887,1128,241,1.2717,0,0,0,0,0,0,page_resolved
DOC000003-C0064,DOC000003,660,793,133,1.2015,0,0,0,0,0,0,page_resolved
DOC000003-C0065,DOC000003,916,1116,200,1.2183,0,0,0,0,0,0,page_resolved
DOC000003-C0066,DOC000003,866,1029,163,1.1882,0,0,0,0,0,0,page_resolved
DOC000003-C0067,DOC000003,93,100,7,1.0753,0,0,0,0,0,0,page_resolved
DOC000003-C0068,DOC000003,1473,873,-600,0.5927,0,0,0,1,0,0,page_resolved
DOC000003-C0069,DOC000003,13,15,2,1.1538,0,0,0,0,0,0,page_resolved
DOC000003-C0070,DOC000003,1360,808,-552,0.5941,0,0,0,1,0,0,page_resolved
DOC000003-C0071,DOC000003,7,8,1,1.1429,0,0,0,0,0,0,page_resolved
DOC000003-C0072,DOC000003,1328,504,-824,0.3795,0,0,0,1,0,0,page_resolved
DOC000003-C0073,DOC000003,1005,1087,82,1.0816,0,0,0,1,0,0,page_resolved
DOC000003-C0074,DOC000003,741,879,138,1.1862,0,0,0,0,0,0,page_resolved
DOC000003-C0075,DOC000003,599,753,154,1.2571,0,0,0,0,0,1,page_resolved
DOC000003-C0076,DOC000003,1194,1033,-161,0.8652,0,0,0,1,0,1,page_resolved
DOC000003-C0077,DOC000003,333,480,147,1.4414,0,0,0,0,0,1,page_resolved
DOC000003-C0078,DOC000003,326,464,138,1.4233,0,0,0,0,0,0,page_resolved
DOC000003-C0079,DOC000003,993,899,-94,0.9053,0,0,0,1,0,1,page_resolved
DOC000003-C0080,DOC000003,459,564,105,1.2288,0,0,0,0,0,0,page_resolved
DOC000003-C0081,DOC000003,109,141,32,1.2936,0,0,0,0,0,0,page_resolved
DOC000003-C0082,DOC000003,1142,781,-361,0.6839,0,0,0,1,0,0,page_resolved
DOC000003-C0083,DOC000003,1073,789,-284,0.7353,0,0,0,1,0,0,page_resolved
DOC000003-C0084,DOC000003,29,39,10,1.3448,0,0,0,0,0,1,page_resolved
DOC000003-C0085,DOC000003,1362,998,-364,0.7327,0,0,0,1,0,0,page_resolved
DOC000003-C0086,DOC000003,383,484,101,1.2637,0,0,0,0,0,1,page_resolved
DOC000003-C0087,DOC000003,800,993,193,1.2412,0,0,0,0,0,1,page_resolved
DOC000003-C0088,DOC000003,571,773,202,1.3538,0,0,0,0,0,0,page_resolved
DOC000003-C0089,DOC000003,843,1115,272,1.3227,0,0,0,0,0,0,page_resolved
DOC000003-C0090,DOC000003,1194,1554,360,1.3015,1,1,0,0,0,1,page_resolved
DOC000003-C0091,DOC000003,453,592,139,1.3068,0,0,0,0,0,0,page_resolved
DOC000003-C0092,DOC000003,624,779,155,1.2484,0,0,0,0,0,1,page_resolved
DOC000003-C0093,DOC000003,623,762,139,1.2231,0,0,0,0,0,1,page_resolved
DOC000003-C0094,DOC000003,768,911,143,1.1862,0,0,0,1,0,0,page_resolved
DOC000003-C0095,DOC000003,720,516,-204,0.7167,0,0,0,1,0,0,page_resolved
DOC000003-C0096,DOC000003,1072,1124,52,1.0485,0,0,0,1,0,0,page_resolved
DOC000003-C0097,DOC000003,515,518,3,1.0058,0,0,0,1,0,0,page_resolved
DOC000003-C0098,DOC000003,1194,722,-472,0.6047,0,0,0,1,0,0,page_resolved
DOC000003-C0099,DOC000003,1023,748,-275,0.7312,0,0,0,1,0,0,page_resolved
DOC000003-C0100,DOC000003,1445,1242,-203,0.8595,1,0,0,1,0,0,page_resolved
DOC000003-C0101,DOC000003,616,604,-12,0.9805,0,0,0,1,0,0,page_resolved
DOC000003-C0102,DOC000003,29,30,1,1.0345,0,0,0,0,0,0,page_resolved
DOC000003-C0103,DOC000003,10,12,2,1.2000,0,0,0,0,0,0,page_resolved
DOC000003-C0104,DOC000003,1247,538,-709,0.4314,0,0,0,1,0,0,page_resolved
DOC000003-C0105,DOC000003,525,316,-209,0.6019,0,0,0,1,0,0,page_resolved
DOC000003-C0106,DOC000003,977,734,-243,0.7513,0,0,0,1,0,0,page_resolved
DOC000003-C0107,DOC000003,1322,1197,-125,0.9054,0,0,0,1,0,0,page_resolved
DOC000003-C0108,DOC000003,601,589,-12,0.9800,0,0,0,1,0,0,page_resolved
DOC000003-C0109,DOC000003,31,31,0,1.0000,0,0,0,0,0,0,page_resolved
DOC000003-C0110,DOC000003,10,12,2,1.2000,0,0,0,0,0,0,page_resolved
DOC000003-C0111,DOC000003,1247,538,-709,0.4314,0,0,0,1,0,0,page_resolved
DOC000003-C0112,DOC000003,528,318,-210,0.6023,0,0,0,1,0,0,page_resolved
DOC000003-C0113,DOC000003,1180,964,-216,0.8169,0,0,0,1,0,0,page_resolved
DOC000003-C0114,DOC000003,623,730,107,1.1717,0,0,0,0,0,0,page_resolved
DOC000003-C0115,DOC000003,789,1057,268,1.3397,0,0,0,1,0,0,page_resolved
DOC000003-C0116,DOC000003,906,1120,214,1.2362,0,0,0,1,0,0,page_resolved
DOC000003-C0117,DOC000003,1104,990,-114,0.8967,0,0,0,1,0,0,page_resolved
DOC000003-C0118,DOC000003,414,481,67,1.1618,0,0,0,0,0,0,page_resolved
DOC000003-C0119,DOC000003,1193,1463,270,1.2263,1,0,0,1,0,0,page_resolved
DOC000003-C0120,DOC000003,1198,1478,280,1.2337,1,0,0,1,0,0,page_resolved
DOC000003-C0121,DOC000003,58,72,14,1.2414,0,0,0,0,0,0,page_resolved
DOC000003-C0122,DOC000003,1175,1450,275,1.2340,1,0,0,1,0,0,page_resolved
DOC000003-C0123,DOC000003,1029,1257,228,1.2216,1,0,0,1,0,0,page_resolved
DOC000003-C0124,DOC000003,1403,1679,276,1.1967,1,1,0,1,0,0,page_resolved
DOC000003-C0125,DOC000003,891,966,75,1.0842,0,0,0,1,0,0,page_resolved
DOC000003-C0126,DOC000003,917,982,65,1.0709,0,0,0,1,0,0,page_resolved
DOC000003-C0127,DOC000003,1138,1251,113,1.0993,1,0,0,1,0,0,page_resolved
DOC000003-C0128,DOC000003,909,842,-67,0.9263,0,0,0,1,0,0,page_resolved
DOC000003-C0129,DOC000003,253,284,31,1.1225,0,0,0,0,0,0,page_resolved
DOC000003-C0130,DOC000003,31,37,6,1.1935,0,0,0,0,0,0,page_resolved
DOC000003-C0131,DOC000003,1610,1044,-566,0.6484,0,0,0,1,0,0,page_resolved
DOC000003-C0132,DOC000003,1424,1553,129,1.0906,1,1,0,1,0,0,page_resolved
DOC000003-C0133,DOC000003,123,146,23,1.1870,0,0,0,0,0,0,page_resolved
DOC000003-C0134,DOC000003,1068,1031,-37,0.9654,0,0,0,1,0,0,page_resolved
DOC000003-C0135,DOC000003,738,478,-260,0.6477,0,0,0,1,0,0,page_resolved
DOC000003-C0136,DOC000003,125,147,22,1.1760,0,0,0,0,0,0,page_resolved
DOC000003-C0137,DOC000003,1106,1202,96,1.0868,1,0,0,1,0,0,page_resolved
DOC000003-C0138,DOC000003,917,982,65,1.0709,0,0,0,1,0,0,page_resolved
DOC000003-C0139,DOC000003,247,277,30,1.1215,0,0,0,0,0,0,page_resolved
DOC000003-C0140,DOC000003,869,949,80,1.0921,0,0,0,1,0,0,page_resolved
DOC000003-C0141,DOC000003,819,818,-1,0.9988,0,0,0,1,0,0,page_resolved
DOC000003-C0142,DOC000003,267,298,31,1.1161,0,0,0,0,0,0,page_resolved
DOC000003-C0143,DOC000003,2197,2352,155,1.0706,1,1,0,1,0,0,page_resolved
DOC000003-C0144,DOC000003,123,146,23,1.1870,0,0,0,0,0,0,page_resolved
DOC000003-C0145,DOC000003,1068,1034,-34,0.9682,0,0,0,1,0,0,page_resolved
DOC000003-C0146,DOC000003,738,475,-263,0.6436,0,0,0,1,0,0,page_resolved
DOC000003-C0147,DOC000003,391,446,55,1.1407,0,0,0,0,0,0,page_resolved
DOC000003-C0148,DOC000003,815,870,55,1.0675,0,0,0,1,0,0,page_resolved
DOC000003-C0149,DOC000003,940,1013,73,1.0777,0,0,0,1,0,0,page_resolved
DOC000003-C0150,DOC000003,1131,1245,114,1.1008,1,0,0,1,0,0,page_resolved
DOC000003-C0151,DOC000003,674,648,-26,0.9614,0,0,0,1,0,0,page_resolved
DOC000003-C0152,DOC000003,125,147,22,1.1760,0,0,0,0,0,0,page_resolved
DOC000003-C0153,DOC000003,267,298,31,1.1161,0,0,0,0,0,0,page_resolved
DOC000003-C0154,DOC000003,2197,2352,155,1.0706,1,1,0,1,0,0,page_resolved
DOC000003-C0155,DOC000003,123,146,23,1.1870,0,0,0,0,0,0,page_resolved
DOC000003-C0156,DOC000003,254,283,29,1.1142,0,0,0,0,0,0,page_resolved
DOC000003-C0157,DOC000003,816,754,-62,0.9240,0,0,0,1,0,0,page_resolved
DOC000003-C0158,DOC000003,738,475,-263,0.6436,0,0,0,1,0,0,page_resolved
DOC000003-C0159,DOC000003,815,945,130,1.1595,0,0,0,0,0,0,page_resolved
DOC000003-C0160,DOC000003,1150,1209,59,1.0513,1,0,0,1,0,0,page_resolved
DOC000003-C0161,DOC000003,926,941,15,1.0162,0,0,0,1,0,0,page_resolved
DOC000003-C0162,DOC000003,922,940,18,1.0195,0,0,0,1,0,0,page_resolved
DOC000003-C0163,DOC000003,822,843,21,1.0255,0,0,0,1,0,0,page_resolved
DOC000003-C0164,DOC000003,688,648,-40,0.9419,0,0,0,1,0,0,page_resolved
DOC000003-C0165,DOC000003,845,890,45,1.0533,0,0,0,1,0,0,page_resolved
DOC000003-C0166,DOC000003,673,617,-56,0.9168,0,0,0,1,0,0,page_resolved
DOC000003-C0167,DOC000003,836,885,49,1.0586,0,0,0,1,0,0,page_resolved
DOC000003-C0168,DOC000003,747,706,-41,0.9451,0,0,0,1,0,0,page_resolved
DOC000003-C0169,DOC000003,970,1276,306,1.3155,1,0,0,1,0,0,page_resolved
DOC000003-C0170,DOC000003,988,1270,282,1.2854,1,0,0,1,0,0,page_resolved
DOC000003-C0171,DOC000003,137,182,45,1.3285,0,0,0,0,0,0,page_resolved
DOC000003-C0172,DOC000003,975,1292,317,1.3251,1,0,0,1,0,0,page_resolved
DOC000003-C0173,DOC000003,89,118,29,1.3258,0,0,0,0,0,0,page_resolved
DOC000003-C0174,DOC000003,946,1097,151,1.1596,0,0,0,1,0,0,page_resolved
DOC000003-C0175,DOC000003,969,1181,212,1.2188,0,0,0,1,0,0,page_resolved
DOC000003-C0176,DOC000003,775,955,180,1.2323,0,0,0,1,0,0,page_resolved
DOC000003-C0177,DOC000003,680,780,100,1.1471,0,0,0,1,0,0,page_resolved
DOC000003-C0178,DOC000003,983,1031,48,1.0488,0,0,0,1,0,0,page_resolved
DOC000003-C0179,DOC000003,840,1105,265,1.3155,0,0,0,0,0,0,page_resolved
DOC000003-C0180,DOC000003,991,1217,226,1.2281,1,0,0,0,0,0,page_resolved
DOC000003-C0181,DOC000003,133,170,37,1.2782,0,0,0,0,0,0,page_resolved
DOC000003-C0182,DOC000003,928,1229,301,1.3244,1,0,0,0,0,0,page_resolved
DOC000003-C0183,DOC000003,969,1173,204,1.2105,0,0,0,0,0,0,page_resolved
DOC000003-C0184,DOC000003,1029,907,-122,0.8814,0,0,0,1,0,0,page_resolved
DOC000003-C0185,DOC000003,974,966,-8,0.9918,0,0,0,1,0,0,page_resolved
DOC000003-C0186,DOC000003,160,199,39,1.2437,0,0,0,0,0,0,page_resolved
DOC000003-C0187,DOC000003,954,880,-74,0.9224,0,0,0,1,0,0,page_resolved
DOC000003-C0188,DOC000003,314,266,-48,0.8471,0,0,0,1,0,0,page_resolved
DOC000003-C0189,DOC000003,957,983,26,1.0272,0,0,0,1,0,0,page_resolved
DOC000003-C0190,DOC000003,624,614,-10,0.9840,0,0,0,1,0,0,page_resolved
DOC000003-C0191,DOC000003,994,1126,132,1.1328,0,0,0,1,0,0,page_resolved
DOC000003-C0192,DOC000003,749,764,15,1.0200,0,0,0,1,0,0,page_resolved
DOC000003-C0193,DOC000003,1017,933,-84,0.9174,0,0,0,1,0,0,page_resolved
DOC000003-C0194,DOC000003,990,1044,54,1.0545,0,0,0,1,0,0,page_resolved
DOC000003-C0195,DOC000003,1007,744,-263,0.7388,0,0,0,1,0,0,page_resolved
DOC000003-C0196,DOC000003,398,266,-132,0.6683,0,0,0,1,0,0,page_resolved
DOC000003-C0197,DOC000003,662,692,30,1.0453,0,0,0,1,0,0,page_resolved
DOC000003-C0198,DOC000003,1192,1088,-104,0.9128,0,0,0,1,0,0,page_resolved
DOC000003-C0199,DOC000003,66,84,18,1.2727,0,0,0,0,0,0,page_resolved
DOC000003-C0200,DOC000003,315,410,95,1.3016,0,0,0,0,0,0,page_resolved
DOC000003-C0201,DOC000003,904,965,61,1.0675,0,0,0,1,0,0,page_resolved
DOC000003-C0202,DOC000003,932,714,-218,0.7661,0,0,0,1,0,0,page_resolved
DOC000003-C0203,DOC000003,104,121,17,1.1635,0,0,0,0,0,0,page_resolved
DOC000003-C0204,DOC000003,990,913,-77,0.9222,0,0,0,1,0,0,page_resolved
DOC000003-C0205,DOC000003,99,116,17,1.1717,0,0,0,0,0,0,page_resolved
DOC000003-C0206,DOC000003,953,835,-118,0.8762,0,0,0,1,0,0,page_resolved
DOC000003-C0207,DOC000003,957,1003,46,1.0481,0,0,0,1,0,1,page_resolved
DOC000003-C0208,DOC000003,916,1141,225,1.2456,0,0,0,0,0,1,page_resolved
DOC000003-C0209,DOC000003,983,1213,230,1.2340,1,0,0,0,0,1,page_resolved
DOC000003-C0210,DOC000003,870,1116,246,1.2828,0,0,0,0,0,1,page_resolved
DOC000003-C0211,DOC000003,958,1168,210,1.2192,0,0,0,0,0,1,page_resolved
DOC000003-C0212,DOC000003,892,1087,195,1.2186,0,0,0,0,0,0,page_resolved
